# Sakartvelo Defenders — Cultural Footer Content
# Total entries: 125
# Format: CATEGORY | "Fact text in English"
# Used on loading screens and main menu rotating footer.
#
# Categories:
#   Wine Culture, Alphabet, Cuisine, Polyphonic Singing,
#   History, Proverbs, Nature, Architecture, Language,
#   Sports and Traditions
#

Wine Culture | "Georgia is home to the world's oldest wine, with archaeological evidence dating back 8,000 years."
Wine Culture | "In 2017, UNESCO added the traditional Georgian method of winemaking in qvevri to its Intangible Cultural Heritage list."
Wine Culture | "Qvevri are large clay vessels buried underground, used for fermenting and storing wine — a tradition unbroken for millennia."
Wine Culture | "Georgia has over 525 indigenous grape varieties, more than any other country on Earth."
Wine Culture | "The ancient Georgian winemaking tradition was confirmed by chemical analysis of pottery shards from the South Caucasus region."
Wine Culture | "Georgian wine was so prized in antiquity that the Greek poet Homer mentioned it in his works."
Wine Culture | "Rkatsiteli, one of Georgia's oldest grape varieties, can produce wines with remarkable aging potential."
Wine Culture | "Saperavi, Georgia's signature red grape, is one of the few teinturier grapes with both red skin and red flesh."
Wine Culture | "The Rtveli — Georgia's traditional grape harvest — is celebrated as a major communal event every autumn."
Wine Culture | "Georgian amber wine, fermented with grape skins and stems in qvevri, is experiencing a global renaissance among sommeliers."
Wine Culture | "Legend says that Georgia's patron saint, St. Nino, carried a cross made of grapevine bound with her own hair."
Wine Culture | "The Georgian toast 'Gaumarjos!' means 'Victory!' and reflects wine's deep connection to Georgian identity and resilience."
Wine Culture | "Wine is considered a sacred element in Georgian Orthodox tradition and is used in every church sacrament."
Alphabet | "The Georgian alphabet, called Mkhedruli, consists of 33 letters and is one of only 14 unique alphabets in the world."
Alphabet | "In 2016, UNESCO inscribed the three historical scripts of the Georgian alphabet on its Representative List of Intangible Cultural Heritage."
Alphabet | "Georgia is one of the few nations in the world to have invented its own writing system independently."
Alphabet | "The Georgian alphabet has evolved through three distinct scripts: Asomtavruli (capitals), Nuskhuri (minuscule), and Mkhedruli (modern)."
Alphabet | "King Parnavaz I of Iberia is traditionally credited with creating the first Georgian script in the 3rd century BC."
Alphabet | "The modern Mkhedruli script became dominant in the 11th century and is still used today for all Georgian writing."
Alphabet | "Georgian has no uppercase or lowercase distinction in its modern script — all letters have the same form."
Alphabet | "The Georgian alphabet is written left-to-right and is phonetic, with a nearly one-to-one correspondence between letters and sounds."
Alphabet | "Georgian calligraphy is considered a high art form, with annual competitions and exhibitions held in Tbilisi and abroad."
Alphabet | "The unique shapes of Georgian letters have inspired modern typographers and designers around the world."
Alphabet | "Scholars debate whether the Georgian script was influenced by Aramaic or developed independently — the question remains unresolved."
Alphabet | "Each Georgian letter has a traditional numerical value, used historically in religious manuscripts and chronologies."
Alphabet | "The oldest surviving Georgian manuscript, the Martyrdom of St. Shushanik, dates to the 5th century AD."
Cuisine | "Khachapuri — Georgia's iconic cheese-filled bread — comes in regional varieties including Adjarian, Imeretian, and Megrelian styles."
Cuisine | "Adjarian khachapuri is shaped like a boat, filled with cheese and butter, and topped with a runny egg — a UNESCO-recognized dish."
Cuisine | "Khinkali are Georgian soup dumplings, traditionally filled with spiced meat and broth, eaten with a specific twisting technique."
Cuisine | "The supra, or Georgian feast, is a cornerstone of Georgian social life, governed by elaborate ritual and the tamada (toastmaster)."
Cuisine | "The tamada is the toastmaster at a Georgian supra, expected to deliver eloquent, philosophical toasts that can last minutes each."
Cuisine | "Badrijani nigvzit — fried eggplant rolls with walnut-garlic paste — is one of Georgia's most beloved appetizers."
Cuisine | "Churchkhela, the 'Georgian Snickers,' is made by dipping walnut strings in concentrated grape juice and drying them like candles."
Cuisine | "Georgian cuisine features over 100 types of herb-and-walnut-based dishes, reflecting the country's extraordinary biodiversity."
Cuisine | "Chakhokhbili is a traditional Georgian chicken stew with tomatoes, herbs, and aromatic spices, dating back centuries."
Cuisine | "Lobio, a hearty bean stew, is considered one of the oldest dishes in Georgian culinary tradition."
Cuisine | "Georgian tonis puri — bread baked in a clay tandoor called a tone — has been made the same way for over a thousand years."
Cuisine | "Tkemali, a tart plum sauce, is Georgia's national condiment and accompanies almost every meat dish."
Cuisine | "Gozinaki, a candy of caramelized walnuts and honey, is traditionally served on New Year's Eve for good fortune."
Polyphonic Singing | "Georgian polyphonic singing was inscribed on UNESCO's Intangible Cultural Heritage list in 2001 — one of the very first entries."
Polyphonic Singing | "Georgia's three-part singing tradition is among the oldest in the world, with roots reaching back over a thousand years."
Polyphonic Singing | "Unlike Western harmony, Georgian polyphony is characterized by dissonant intervals, drone bass, and complex yodel-like krimanchuli techniques."
Polyphonic Singing | "Each region of Georgia has its own distinct polyphonic style — Gurian, Kakhetian, Svan, and Megrelian traditions differ significantly."
Polyphonic Singing | "Gurian polyphony from western Georgia features a unique improvisational 'krimanchuli' — a high-pitched, yodel-like voice part."
Polyphonic Singing | "The Chakrulo song, a Georgian polyphonic masterpiece, was included on the Voyager Golden Record sent into space in 1977."
Polyphonic Singing | "Georgian folk songs were among the first non-Western music studied by European ethnomusicologists in the late 19th century."
Polyphonic Singing | "The Rustavi Choir, founded in 1968, brought Georgian polyphonic singing to international audiences and won a Grammy Award."
Polyphonic Singing | "In Kakheti, men sing at the supra table in three-part harmony, with a deep drone bass anchoring the melody above."
Polyphonic Singing | "Georgian polyphony is traditionally taught orally from generation to generation, without written musical notation."
Polyphonic Singing | "Scholars believe Georgia's geographic isolation in the Caucasus helped preserve its ancient polyphonic traditions intact."
Polyphonic Singing | "The 2003 film 'Since Otar Left' featured Georgian polyphonic singing and brought wider awareness to the tradition."
History | "The ancient kingdom of Colchis, in western Georgia, is widely believed to be the land of the Golden Fleece from Greek mythology."
History | "The Greek myth of Jason and the Argonauts likely drew on Georgian traditions of using sheepskins to collect gold from rivers."
History | "Queen Tamar (r. 1184-1213) is considered Georgia's greatest ruler, presiding over a golden age of culture, military power, and diplomacy."
History | "King David the Builder (r. 1089-1125) reunified Georgia and won the decisive Battle of Didgori in 1121 against the Seljuk Turks."
History | "The Battle of Didgori, fought on August 12, 1121, is celebrated annually as Georgia's greatest military victory — 'Didgoroba.'"
History | "Georgia adopted Christianity as its state religion in AD 337, making it one of the world's oldest Christian nations."
History | "According to tradition, Saint Nino of Cappadocia brought Christianity to Georgia after seeing a vision of the Virgin Mary."
History | "The Rose Revolution of November 2003 was a peaceful protest that ousted the government and became a model for non-violent democratic change."
